trade_id,ticker,side,quantity,price,notional,timestamp
T0001,VOD,BUY,6580,0.7523,4950.13,2026-05-12 18:47:17
,MSFT,BUY,4444,423.1519,1880487.04,2026-05-12 19:47:06
T0003,VOD,BUY,2094,0.7571,1585.37,2026-05-12 22:27:02
T0004,AAPL,BUY,1032,207.2654,213897.89,2026-05-12 19:14:32
T0005,BP,BUY,7203,5.2066,37503.14,2026-05-12 22:12:45
T0006,VOD,SELL,7882,0.7499,5910.71,2026-05-12 19:28:37
T0007,BARC,BUY,-5053,2.0821,10520.85,2026-05-12 19:44:27
,BARC,SELL,3770,2.1163,7978.45,2026-05-12 19:13:48
T0009,,BUY,4083,2.1014,8580.02,2026-05-12 18:24:06
T0010,BARC,SELL,8245,2.1098,17395.3,2026-05-12 22:16:51
T0011,AAPL,SELL,1012,208.1955,210693.85,2026-05-12 22:07:59
T0012,HSBC,BUY,5590,7.329,40969.11,2026-05-12 22:18:53
T0013,VOD,SELL,2839,0.7566,2147.99,2026-05-12 22:12:45
T0014,AAPL,BUY,6353,209.6118,1331663.77,2026-05-12 23:14:49
T0015,BARC,BUY,772,N/A,1610.16,2026-05-12 19:55:06
T0016,HSBC,SELL,9709,N/A,71735.92,2026-05-12 21:40:53
T0017,BARC,BUY,7623,2.091,15939.69,2026-05-12 20:22:13
T9999,VOD,SELL,2026,0.754,1527.6,2026-05-12 23:59:43
T0019,VOD,BUY,5511,0.7527,4148.13,2026-05-12 22:40:10
T0020,BP,BUY,1627,5.2224,8496.84,2026-05-12 19:29:24
T0021,BARC,BUY,3729,2.145,7998.7,2026-05-12 23:20:53
T0022,AAPL,BUY,9678,208.9243,2021969.38,2026-05-12 18:51:20
T0023,HSBC,SELL,855,7.3398,6275.53,2026-05-12 18:13:58
T0024,BP,SELL,4748,5.2587,24968.31,2026-05-12 19:41:31
T0025,HSBC,SELL,6896,7.3916,50972.47,2026-05-12 19:16:08
T0026,MSFT,SELL,4809,416.5372,2003127.39,2026-05-12 23:37:27
T0027,BP,SELL,9409,5.2338,49244.82,2026-05-12 20:14:08
T0028,BP,SELL,4427,5.2282,23145.24,2026-05-12 18:48:03
T0029,AAPL,BUY,4408,208.6024,919519.38,2026-05-12 23:10:50
T0030,VOD,SELL,8067,0.7509,6057.51,2026-05-12 22:04:24
T0031,HSBC,SELL,2471,7.4162,18325.43,2026-05-12 22:16:35
T0032,AAPL,BUY,6856,210.4696,1442979.58,2026-05-12 23:56:34
T0033,BARC,SELL,8068,2.1143,17058.17,2026-05-12 18:18:27
T0034,MSFT,SELL,172,421.2143,72448.86,2026-05-12 18:46:56
T0035,VOD,SELL,4768,0.7547,3598.41,2026-05-12 22:48:11
T0036,BP,BUY,7081,5.1834,36703.66,2026-05-12 23:19:53
T0037,VOD,BUY,5105,0.7465,3810.88,2026-05-12 19:23:48
T0038,MSFT,BUY,5730,418.8444,2399978.41,2026-05-12 22:20:31
T0039,AAPL,BUY,4452,213.1394,948896.61,2026-05-12 20:56:53
T0040,BARC,BUY,6717,2.1203,14242.06,2026-05-12 18:15:56
,BP,BUY,884,5.1125,4519.45,2026-05-12 18:46:31
T0042,AAPL,BUY,7673,210.3418,1613952.63,2026-05-12 19:42:30
T0043,BP,BUY,996,5.2305,5209.58,2026-05-12 20:33:55
T0044,BP,SELL,-5636,5.2413,29539.97,2026-05-12 19:59:34
T0045,VOD,BUY,3540,0.7474,2645.8,2026-05-12 23:19:25
T0046,VOD,SELL,4423,0.7564,3345.56,2026-05-12 21:57:33
T0047,HSBC,BUY,9927,7.3858,73318.84,2026-05-12 19:14:04
T9999,,BUY,8548,2.0762,17747.36,2026-05-12 22:35:14
T0049,BP,BUY,8571,5.1522,44159.51,2026-05-12 18:04:45
T0050,VOD,BUY,2885,0.7511,2166.92,2026-05-12 19:04:57
